_id,jobId,transcriptId,clusteringOutput,addedOn,cluster,intent_desc,intent_name,explaination
68d536dd97faae75d3eddb77,CXJ-005D,HB_20250729204502679348780051VOICEd4e2b13d1c4943ab9566fdb2f7b64e17,"{'cluster': 9, 'intent_desc': 'claim denial:Claim denial refers to the rejection of a submitted insurance claim.', 'intent_name': 'Claim Denial', 'explaination': ""The intent 'Claim Denial' is used because it appears consistently in all the input statements, indicating that it is the common theme or action being described.""}",1758803677,9,claim denial:Claim denial refers to the rejection of a submitted insurance claim.,Claim Denial,"The intent 'Claim Denial' is used because it appears consistently in all the input statements, indicating that it is the common theme or action being described."
68d536dd97faae75d3eddb78,CXJ-005D,HB_20250731131638679349847896VOICE6a68887020bd474797ae17a7ba566daf,"{'cluster': 9, 'intent_desc': 'claim denial:Claim denial refers to the rejection of a submitted insurance claim.', 'intent_name': 'Claim Denial', 'explaination': ""The intent 'Claim Denial' is used because it appears consistently in all the input statements, indicating that it is the common theme or action being described.""}",1758803677,9,claim denial:Claim denial refers to the rejection of a submitted insurance claim.,Claim Denial,"The intent 'Claim Denial' is used because it appears consistently in all the input statements, indicating that it is the common theme or action being described."
68d536dd97faae75d3eddb79,CXJ-005D,HB_20250731152005679349977211VOICE0990f6c7dc7c4b3f9cde6929f22fe2a6,"{'cluster': 9, 'intent_desc': 'claim denial:Claim denial refers to the rejection of a submitted insurance claim.', 'intent_name': 'Claim Denial', 'explaination': ""The intent 'Claim Denial' is used because it appears consistently in all the input statements, indicating that it is the common theme or action being described.""}",1758803677,9,claim denial:Claim denial refers to the rejection of a submitted insurance claim.,Claim Denial,"The intent 'Claim Denial' is used because it appears consistently in all the input statements, indicating that it is the common theme or action being described."
68d536dd97faae75d3eddb7a,CXJ-005D,HB_20250729210107679348799892VOICE4e63af9ceda749b1a1582bf1a780c6de,"{'cluster': 14, 'intent_desc': 'cash out funds:Cash out funds refers to withdrawing money from an account.', 'intent_name': 'Withdraw Funds', 'explaination': ""The intent 'Withdraw Funds' is used more often (at least 3 times) in the input statements, and it accurately represents the action of taking money out of an account.""}",1758803677,14,cash out funds:Cash out funds refers to withdrawing money from an account.,Withdraw Funds,"The intent 'Withdraw Funds' is used more often (at least 3 times) in the input statements, and it accurately represents the action of taking money out of an account."
68d536dd97faae75d3eddb7b,CXJ-005D,HB_20250729235428679348948398VOICEfedf48d48bec4b5b92e418356013b8cb,"{'cluster': 14, 'intent_desc': 'withdraw funds:withdraw funds refers to the process of taking money out of an account.', 'intent_name': 'Withdraw Funds', 'explaination': ""The intent 'Withdraw Funds' is used more often (at least 3 times) in the input statements, and it accurately represents the action of taking money out of an account.""}",1758803677,14,withdraw funds:withdraw funds refers to the process of taking money out of an account.,Withdraw Funds,"The intent 'Withdraw Funds' is used more often (at least 3 times) in the input statements, and it accurately represents the action of taking money out of an account."
68d536dd97faae75d3eddb7c,CXJ-005D,HB_20250730170250679349280078VOICE689646e33f04440d88fdf87fa0b86632,"{'cluster': 14, 'intent_desc': 'withdraw funds:Withdraw funds refers to the act of taking money out of an account.', 'intent_name': 'Withdraw Funds', 'explaination': ""The intent 'Withdraw Funds' is used more often (at least 3 times) in the input statements, and it accurately represents the action of taking money out of an account.""}",1758803677,14,withdraw funds:Withdraw funds refers to the act of taking money out of an account.,Withdraw Funds,"The intent 'Withdraw Funds' is used more often (at least 3 times) in the input statements, and it accurately represents the action of taking money out of an account."
68d536dd97faae75d3eddb0b,CXJ-005D,HB_20250731145402679349938848VOICE19072b77431843a7a53b64e1e9750d9a,"{'cluster': 30, 'intent_desc': 'activate card:activate card refers to enabling a debit or credit card for use.', 'intent_name': 'Activate Card', 'explaination': ""The intent 'Activate Card' is used consistently across all input statements, indicating that the common action being described is enabling a debit or credit card for use.""}",1758803677,30,activate card:activate card refers to enabling a debit or credit card for use.,Activate Card,"The intent 'Activate Card' is used consistently across all input statements, indicating that the common action being described is enabling a debit or credit card for use."
68d536dd97faae75d3eddb0c,CXJ-005D,HB_20250729135521679169250526VOICEc64d762fe74346d6a3dd87a7cfef54ec,"{'cluster': 6, 'intent_desc': 'close account:Close account refers to the termination of a financial account.', 'intent_name': 'Close Account', 'explaination': ""The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.""}",1758803677,6,close account:Close account refers to the termination of a financial account.,Close Account,The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.
68d536dd97faae75d3eddb0d,CXJ-005D,HB_20250729165814679169485233VOICE01f5357f4e7d47d88e1e7cf555df79b0,"{'cluster': 6, 'intent_desc': 'close account:Close account refers to the process of terminating an account.', 'intent_name': 'Close Account', 'explaination': ""The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.""}",1758803677,6,close account:Close account refers to the process of terminating an account.,Close Account,The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.
68d536dd97faae75d3eddb0e,CXJ-005D,HB_20250730155935679349197408VOICEd4016195c24e48df8cbdadb0201038e4,"{'cluster': 6, 'intent_desc': 'account closure:Account closure refers to the process of terminating an account.', 'intent_name': 'Close Account', 'explaination': ""The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.""}",1758803677,6,account closure:Account closure refers to the process of terminating an account.,Close Account,The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.
68d536dd97faae75d3eddb0f,CXJ-005D,HB_20250730172639679349327868VOICEd096ddaa715e4960b1a46e589e3883c1,"{'cluster': 6, 'intent_desc': 'close account:close account refers to the termination of a financial account.', 'intent_name': 'Close Account', 'explaination': ""The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.""}",1758803677,6,close account:close account refers to the termination of a financial account.,Close Account,The intent 'Close Account' is used more frequently (at least 3 times) in the cluster statements and accurately represents the process of terminating a financial account.
68d536dd97faae75d3eddb10,CXJ-005D,HB_20250729141159679169267492VOICEd84af4082cda479599f128b30f3fcea2,"{'cluster': 35, 'intent_desc': 'reactivate card:Reactivate card refers to restoring the functionality of a suspended card.', 'intent_name': 'Reactivate Card', 'explaination': ""The intent 'Reactivate Card' is used consistently across all input statements to describe the process of restoring the functionality of a suspended card. This intent name is repeated multiple times, making it the most common and representative name for the group.""}",1758803677,35,reactivate card:Reactivate card refers to restoring the functionality of a suspended card.,Reactivate Card,"The intent 'Reactivate Card' is used consistently across all input statements to describe the process of restoring the functionality of a suspended card. This intent name is repeated multiple times, making it the most common and representative name for the group."
