_id,jobId,transcriptId,intentAnalysisOutput,addedOn,main_intent,intent_detail,intent_solution
68d5354097faae75d3edd9c0,CXJ-005D,HB_20250729111805679169192932VOICEa8b725f21ec84abd819f78a5ef170164,"{'main_intent': 'report fraud', 'intent_detail': 'Report fraud refers to notifying unauthorized transactions on an account.', 'intent_solution': 'Call back and replace card'}",1758803264,report fraud,Report fraud refers to notifying unauthorized transactions on an account.,Call back and replace card
68d5354197faae75d3edd9c1,CXJ-005D,HB_20250729122052679169199153VOICE258a7f8be75b43d1a4af5147aad5c62d,"{'main_intent': 'activate card', 'intent_detail': 'Activate card refers to enabling a card for use.', 'intent_solution': 'Agent activated the card.'}",1758803265,activate card,Activate card refers to enabling a card for use.,Agent activated the card.
68d5354297faae75d3edd9c2,CXJ-005D,HB_20250729131445679169220564VOICEb5e2f5c58db04035b88743c7ea21bb50,"{'main_intent': 'report fraud', 'intent_detail': 'report fraud refers to notifying unauthorized transactions on an account.', 'intent_solution': 'agent confirmed card cancellation and pending transactions.'}",1758803266,report fraud,report fraud refers to notifying unauthorized transactions on an account.,agent confirmed card cancellation and pending transactions.
68d5354297faae75d3edd9c3,CXJ-005D,HB_20250729132445679169217840VOICE10063e09ca4a45d0b6675d0406fdfb20,"{'main_intent': 'itemized statement', 'intent_detail': 'Request for a detailed billing statement for an order.', 'intent_solution': 'Connected to billing department.'}",1758803266,itemized statement,Request for a detailed billing statement for an order.,Connected to billing department.
68d5354397faae75d3edd9c4,CXJ-005D,HB_20250729132747679169230614VOICE5fe354b302ec41cdaf272324bc8223ab,"{'main_intent': 'account setup', 'intent_detail': 'Account setup refers to creating a new user account.', 'intent_solution': 'Helped customer register account.'}",1758803267,account setup,Account setup refers to creating a new user account.,Helped customer register account.
68d5354497faae75d3edd9c5,CXJ-005D,HB_20250729132907679169230185VOICE5d2eeba21b7a45329df8b7105643c921,"{'main_intent': 'payment method', 'intent_detail': 'payment method refers to the way a customer pays for services.', 'intent_solution': 'advised to contact card issuer'}",1758803268,payment method,payment method refers to the way a customer pays for services.,advised to contact card issuer
68d5354597faae75d3edd9c6,CXJ-005D,HB_20250729134924679169245845VOICE04ae147cf8074f36ab550c41ba50f5bb,"{'main_intent': 'activate card', 'intent_detail': 'Activate card refers to enabling a debit or credit card for use.', 'intent_solution': 'Agent activated the card.'}",1758803269,activate card,Activate card refers to enabling a debit or credit card for use.,Agent activated the card.
68d5354697faae75d3edd9c7,CXJ-005D,HB_20250729135521679169250526VOICEc64d762fe74346d6a3dd87a7cfef54ec,"{'main_intent': 'close account', 'intent_detail': 'Close account refers to the termination of a financial account.', 'intent_solution': 'Update address, verify bank, close account.'}",1758803270,close account,Close account refers to the termination of a financial account.,"Update address, verify bank, close account."
68d5354697faae75d3edd9c8,CXJ-005D,HB_20250729141159679169267492VOICEd84af4082cda479599f128b30f3fcea2,"{'main_intent': 'reactivate card', 'intent_detail': 'Reactivate card refers to restoring the functionality of a suspended card.', 'intent_solution': 'Agent reactivated the suspended card.'}",1758803270,reactivate card,Reactivate card refers to restoring the functionality of a suspended card.,Agent reactivated the suspended card.
68d5354797faae75d3edd9c9,CXJ-005D,HB_20250729141203679169265658VOICEb59aa185dad74c31bc8a6e2732c447aa,"{'main_intent': 'activate prescription', 'intent_detail': 'Activate prescription refers to ensuring prescription coverage is active under insurance.', 'intent_solution': 'Agent called insurance provider to activate prescription.'}",1758803271,activate prescription,Activate prescription refers to ensuring prescription coverage is active under insurance.,Agent called insurance provider to activate prescription.
68d5354897faae75d3edd9ca,CXJ-005D,HB_20250729141214679169268900VOICE770aa53b8ba74a98ac93f5837bd4ab09,"{'main_intent': 'pay bill', 'intent_detail': 'Pay bill refers to the act of settling an outstanding payment.', 'intent_solution': 'Informed customer about payment eligibility.'}",1758803272,pay bill,Pay bill refers to the act of settling an outstanding payment.,Informed customer about payment eligibility.
68d5354997faae75d3edd9cb,CXJ-005D,HB_20250729141744679169268668VOICE2e72dcef89b447fbb1f338d697cdfe34,"{'main_intent': 'reactivate card', 'intent_detail': 'Reactivate card refers to re-enabling a previously inactive card.', 'intent_solution': 'Agent reactivated the card.'}",1758803273,reactivate card,Reactivate card refers to re-enabling a previously inactive card.,Agent reactivated the card.
68d5354a97faae75d3edd9cc,CXJ-005D,HB_20250729142151679169275225VOICEa9f267efa9f7419eab8b6ba1c0d626f3,"{'main_intent': 'account type', 'intent_detail': 'Account type refers to the classification of a financial account.', 'intent_solution': 'Confirmed account type as FSA.'}",1758803274,account type,Account type refers to the classification of a financial account.,Confirmed account type as FSA.
68d5354a97faae75d3edd9cd,CXJ-005D,HB_20250729142428679169279968VOICEe343aa2a7c8347eeb8eb583d9fa118c8,"{'main_intent': 'check deposit', 'intent_detail': 'Check deposit refers to the process of transferring funds from a check into a bank account.', 'intent_solution': 'void checks and request funds online'}",1758803274,check deposit,Check deposit refers to the process of transferring funds from a check into a bank account.,void checks and request funds online
